,DEX_Address,DEX_Name
0,0X7A250D5630B4CF539739DF2C5DACB4C659F2488D,UNISWAP
1,0X818E6FECD516ECC3849DAF6845E3EC868087B755,KYBER
2,0XA8B39829CE2246F89B31C013B8CDE15506FB9A76,DXDY
3,0X2A0C0DBECC7E4D658F48E01E3FA353F44050C208|IDEX,NAN
4,0XBA100000625A3754423978A60C9317C58A424E3D,BALANCER
5,0X745DAA146934B27E3F0B6BFF1A6E36B9B90FB131,DEX_AG
6,0X27054B13B1B798B345B591A4D22E6562D47EA75A,AIRSWAP
7,0X7113DD99C79AFF93D54CFA4B2885576535A132DE,TOTLE
8,0X111111111117DC0AA78B770FA6A738034120C302,ONE_INCH
9,0X9509665D015BFE3C77AA5AD6CA20C8AFA1D98989,PARASWAP_V2
10,0X3F5CE5FBFE3E9AF3971DD833D26BA9B5C936F0BE,BINANCE
