,blockNumber,A3E8E4_ACCRUEINTEREST_cashPrior,A3E8E4_ACCRUEINTEREST_interestAccumulated,A3E8E4_ACCRUEINTEREST_borrowIndex,A3E8E4_ACCRUEINTEREST_totalBorrows,A3E8E4_FAILURE_error,A3E8E4_FAILURE_info,A3E8E4_FAILURE_detail,A3E8E4_APPROVAL_owner,A3E8E4_APPROVAL_spender,A3E8E4_APPROVAL_amount,A3E8E4_BORROW_borrower,A3E8E4_BORROW_borrowAmount,A3E8E4_BORROW_accountBorrows,A3E8E4_BORROW_totalBorrows,A3E8E4_MINT_minter,A3E8E4_MINT_mintAmount,A3E8E4_MINT_mintTokens,A3E8E4_REDEEM_redeemer,A3E8E4_REDEEM_redeemAmount,A3E8E4_REDEEM_redeemTokens,A3E8E4_TRANSFER_fromAddress,A3E8E4_TRANSFER_toAddress,A3E8E4_TRANSFER_amount,A3E8E4_REPAYBORROW_payer,A3E8E4_REPAYBORROW_borrower,A3E8E4_REPAYBORROW_repayAmount,A3E8E4_REPAYBORROW_accountBorrows,A3E8E4_REPAYBORROW_totalBorrows,ABDD52_TRANSFER_fromAddress,ABDD52_TRANSFER_toAddress,ABDD52_TRANSFER_value
0,11933142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xa2d23F7819d3F727aFbbc4a9eE85dA3f62B6DD12,0x77366a40019C84475439545d8B8760D889e71D25,56003113860000000000
1,11933498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xD748715627aDb99b0Cd4e1109A53CBB708Be4A2b,0xF559397ee2a0F2782246a395943449B5b6ae94E7,1000000000000000000000
2,11933620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xd6937ae4e81feea3dFD942C88d1cb806611FFE75,0x876f9BA084aa6d60838d3BdbEbBF1c42416AeDD4,637673370000000000
3,11933969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xF445248B3E621B3B372c45F7c9039AFc93819d9d,0xC391954122BdFb814986a56c134f35Ae22ECDc5F,79953430000000000
4,11934458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xef0bc05e0531dC5d5B2B3Bac023B16F2D3FF68A1,0x3F24C26F934685693c88c888941d9d97179Cac2d,150000000000000000
5,11934854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x031d0E4C6fBaf5bDFdD55CAa9CDDb1f54cA7f141,0xb885718271833b3Bb9D89c0A5A3B2e6026D06cE7,1000000000000000000
6,11934958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x031d0E4C6fBaf5bDFdD55CAa9CDDb1f54cA7f141,0xb885718271833b3Bb9D89c0A5A3B2e6026D06cE7,85120000000000000000
7,11935000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x031d0E4C6fBaf5bDFdD55CAa9CDDb1f54cA7f141,0xb885718271833b3Bb9D89c0A5A3B2e6026D06cE7,99000000000000000000
8,11935070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xCaa1DA159b0c548cd904D258b57ca639Ab1950a6,0x1CE623DB614855a93dfe8ed2e37C8B78F152E3a2,10000000000000000000
9,11935113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xCaa1DA159b0c548cd904D258b57ca639Ab1950a6,0x1CE623DB614855a93dfe8ed2e37C8B78F152E3a2,10000000000000000000
10,11935278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x82E414C1d4EeA1D11dCF951e298f02c87DA67D17,0x6660fdF0484B052a61d93De18200d69a49109361,1000000000000000000
11,11935336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x62181f99BfA9DF79B0997908158785882DCD240C,0x6073c501E329482eb0f2c4Ef633fEf2Be2C72f40,100000000000000000
12,11935348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x74c9d8261a380Dcc67309f2517616efeDB1D0157,0x458d3c7CC89D335ac5db2C33b91d12FC8Aa0dADe,2200000000000000000
13,11935524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x4baB17864E7fd4279DB98C78aDB4576D972a6420,0x9cF3149F3BE0A4491C61D47A2158F9f4018F95c1,19968237940000000000
14,11935844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x28c1249F36FE7BB18e9BdD3B9F4fdDe9081C3dF9,0x491a20C1633792915495ACE1595cAA2F204c40a1,1200619928250000000
15,11935847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x81d0dAE75f8154e3E3a51b1518d0C384936B92C7,0x7a22d9bb1955E81ff21EBEB7ACe69DA7d1Ae21cC,264775620000000000
16,11935855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x565BAA9De8EC51e61635Cac7E899B83FA2bBc90c,0xDB07DBF6EA74e6aedC2121d1066c03C14f64d68A,929339858473197172
17,11936117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x693918a0F3D76c349436D3B5855d0821eFA70A1B,0x847edEd472bBBdEa0E588C09e280553537613C83,50000000000000000000
18,11936255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x8f74f5F985b6d28cDF9873d18dC3E1FCa3d7320C,0xb9a42D8161fa9bFDA801a45004418a13c1BFF702,2370000000000000000
19,11936328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x671EF72E842efC19b952D735fF43266b847b3fF4,0xCd0122247ee2544A4c7ED593b8558a20642e1f7C,1300000000000000000
20,11936589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3a0921b274a5fd38755E3e6007f4B0B7EE191a53,0xEb4C3bf80440aB7BC12Ed2E9016fC86d32b764c5,32000000000000000000
21,11936872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7f086476aB73e7E6A28A5f08240a747a637d295F,0x96Abc45E026286761418fcC7c197FBB14deD863e,1179175174793123815
22,11937078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xE49A20d26a6aeD2AA40A5AdB20078B58db92F0C5,0xF972d81b70d639Bc31D26C8F1e10f26527CE794A,150887220000000000
23,11937432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x0D243C836a7Cb479Da9e9d7d5c8b5deC57ffe0Ac,0x1c6557eCD6BF5657D9313e7B21A8888E6C6854e7,6670000000000000000
24,11937525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xd0e50c619e346161A76a21342D9f91e59ee828f2,0x548FE4BC4Ee7065BF0c1C12e85Cd6bB898ED84f1,2508802857527927840
25,11937543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x99A6A347cE06D61d33dCa63a2Ca60Aa52cA9a555,0xBbD1b0351F8bA5100376097AF952A77DFD367819,1188002070000000000
26,11937707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3a0921b274a5fd38755E3e6007f4B0B7EE191a53,0xEb4C3bf80440aB7BC12Ed2E9016fC86d32b764c5,500000000000000000
27,11937797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xd63aAC2312912B14888249D933FecF667042853A,0xDb47C0A0bCAB42d26e6fA8440c555ac19374e935,150000000000000000
28,11938118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x9dE81f37AB515019a036156FCDce40f0351D1c87,0x6A275791F3bE103ef305503e5c0257dE602706bA,150000000000000000
29,11938152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5A670918358B211D1922890213B7CB15375Ebb7E,0x9F560b974044A230E8D96811BB18C7430a7b48Aa,1000000000000000000
30,11938231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5A670918358B211D1922890213B7CB15375Ebb7E,0x9F560b974044A230E8D96811BB18C7430a7b48Aa,3365512380000000000
31,11938581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xAeEc6f5aCA72F3A005af1B3420ab8c8c7009BaC8,0xBd1FaAb1A8c068ECa19BeA9BA58Fb820832962aE,1872378210000000000
32,11938622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x84c036916DF9c674dC81013B6a606Bd36c320f85,0xe30edAB78898FFB27f72A49DbDB587D2D737b568,23353000000000000000
33,11938926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xf700693d6bC8D81e66eB7cdAd3375b2B6B510827,0x260e8EaC329D0C3107C27061EC5f327Be18066Eb,150000000000000000
34,11939200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x548FE4BC4Ee7065BF0c1C12e85Cd6bB898ED84f1,0xa606b5A04F8949F1B9FC724F3f3dD5cB1B7cAe97,2508802857527927840
35,11939237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x66855EaF12ba2837D1Ad3d5FB33E39Ad98C485f5,0xffd1bC6b2a0a739AE425755a3704B8Be9811CB65,14217609487494314020
36,11939260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xffd1bC6b2a0a739AE425755a3704B8Be9811CB65,0xBF9dee66d9a7d79A3370d72180872E30A1fEd690,14217609487494314020
37,11939318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x11650cF886A2E09f0900957F19DB401564665967,0x5300e2ae18dF1A65Cf239b30047C08D369301084,10308300000000000000
38,11939439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x43b8b190b6415e48C76d19029387753814a9d6DD,0xb7b32C7fDDAf8A778b3bc1C1247459308B5a4b92,40000000000000000
39,11939469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x43b8b190b6415e48C76d19029387753814a9d6DD,0xb7b32C7fDDAf8A778b3bc1C1247459308B5a4b92,2900000000000000000
40,11939688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x685aEECe87ea9F1f326e67bA6f59295aF1c4c08c,0xcEade9d7726Ac42419de7c84951C58B5a5f7A680,60000000000000000
41,11939754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x685aEECe87ea9F1f326e67bA6f59295aF1c4c08c,0xcEade9d7726Ac42419de7c84951C58B5a5f7A680,146000000000000000000
42,11940049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6Ef361e4DA1f1292d2e9698e1025298810242618,0x860C1043BD2433c3Eb01c81971D94De74576f002,850186150000000000
43,11940216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x159a29b0440CDFd973Edf8ce9877b7540aAE01cE,0xBa19f8747a5d25e54c1B4713472778b14b823ad6,750000000000000000
44,11940242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x783F6565d97fAe93AD0625b8FeD2Cd1c0C881083,0x443fdB73B81242605334f95BA5e67a42F68512bc,150000000000000000
45,11940389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x3a0921b274a5fd38755E3e6007f4B0B7EE191a53,0xEb4C3bf80440aB7BC12Ed2E9016fC86d32b764c5,250000000000000000
46,11940766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc463FE44AB3C63fBC5Fee44477E30f687B2af2ab,0x437f35Ee8D435BB343aE359D0f1E9fcB950672D1,300000000000000000
47,11941475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x6660fdF0484B052a61d93De18200d69a49109361,0x261bff345Ed93ffC3a53221596F6EA5e4CCee032,100000000000000000
