,blockNumber,timestamp_iso8601,timestamp_unixtime,borrower,borrowAmount,accountBorrows,totalBorrows
0,12657151,2021-06-18T07:32:07Z,1624001527,0x64766a072821dd9812da18c917f421edf9003ec2,9700000000000000000,44831961445887524029,90749980853253877995848
0,12656781,2021-06-18T06:08:25Z,1623996505,0x00858982166a1d9ba05ffe832a0693c6f610e0be,1791855578711664137472,12955124753662563961347,90739306720055960459252
0,12574963,2021-06-05T14:28:33Z,1622903313,0x64766a072821dd9812da18c917f421edf9003ec2,10500000000000000000,35050943185304441608,90749939862066701438674
0,12574926,2021-06-05T14:20:09Z,1622902809,0x00858982166a1d9ba05ffe832a0693c6f610e0be,154740418820674106804,11137633735161418756082,90739348202026598882616
0,12568700,2021-06-04T15:07:18Z,1622819238,0x64766a072821dd9812da18c917f421edf9003ec2,10500000000000000000,24546743688414533954,90749985798208459381210
0,12568651,2021-06-04T14:56:35Z,1622818595,0x00858982166a1d9ba05ffe832a0693c6f610e0be,938678636235519671981,10981011068267133101316,90739364405127929068163
0,12473287,2021-05-20T19:54:40Z,1621540480,0xa9ed447a072ac034ec7b7ed411a5f02276ca0486,6000000000000000000,6000000000000000000,90749062366282407319695
0,12471924,2021-05-20T14:53:04Z,1621522384,0x00858982166a1d9ba05ffe832a0693c6f610e0be,91910784676421206007,10015512721678563186160,90739420283069972550683
0,12468242,2021-05-20T01:21:44Z,1621473704,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,270000000000000000000,1206640849195464750633,90749480396517344379505
0,12467763,2021-05-19T23:26:47Z,1621466807,0x64766a072821dd9812da18c917f421edf9003ec2,13000000000000000000,28014701526581317616,90492206231912900068324
0,12467699,2021-05-19T23:12:42Z,1621465962,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,68000000000000000000,936625805820339739951,90479034414807494825691
0,12467448,2021-05-19T22:17:37Z,1621462657,0x57ca561798413a20508b6bc997481e784f3e6e5f,12500000000000000000000,25586708743510746109020,90410361402526515708659
0,12467175,2021-05-19T21:14:04Z,1621458844,0x76dfe68c3f3b5ff0e3636ffc18b84b5653450569,800000000000000000000,2000058481254894140986,77909781541339028490610
0,12467126,2021-05-19T21:03:13Z,1621458193,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,56902170309863640000,868611726485027400770,77109679584250200494214
0,12467014,2021-05-19T20:34:04Z,1621456444,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,240000000000000000000,811707104169202681251,77052544653505154817485
0,12466383,2021-05-19T18:19:21Z,1621448361,0x21c30d17d9e61ce139dfd2a3d167c5752246b938,380000000000000000000,1013110376931453838827,76811233576462401295903
0,12465933,2021-05-19T16:31:50Z,1621441910,0x21c30d17d9e61ce139dfd2a3d167c5752246b938,450000000000000000000,633102652034817518438,76430301000720985542076
0,12465917,2021-05-19T16:28:04Z,1621441684,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,138901638195698500000,571690123129319191186,75980268136612394770686
0,12465903,2021-05-19T16:25:23Z,1621441523,0x41fa28ca6d17aef97d641aa230e57243b10afcd4,300000000000000000000,432788321331223558765,75841337828916945456452
0,12465372,2021-05-19T14:31:39Z,1621434699,0x76dfe68c3f3b5ff0e3636ffc18b84b5653450569,1200000000000000000000,1200000000000000000000,75540256888559153838865
0,12447784,2021-05-16T21:00:49Z,1621198849,0x21c30d17d9e61ce139dfd2a3d167c5752246b938,183000000000000000000,183000000000000000000,90749491862483294315319
0,12446017,2021-05-16T14:28:29Z,1621175309,0x64766a072821dd9812da18c917f421edf9003ec2,6000000000000000000,15004690100000328234,90561436978724996135484
0,12444974,2021-05-16T10:37:27Z,1621161447,0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,2500000000000000000000,32376584505119174508031,90552452794061888181811
0,12444544,2021-05-16T08:59:51Z,1621155591,0xfe1679f48012f2112d04afd08efa41d032e4e742,15000000000000000000,15000000000000000000,88051279785107992057418
0,12444212,2021-05-16T07:41:18Z,1621150878,0xce2d9000d60cb03f6008446b12d4bcb91e2756bb,79759422897357700000,592106820925983887527,88035374289019861756090
0,12444159,2021-05-16T07:29:13Z,1621150153,0xce2d9000d60cb03f6008446b12d4bcb91e2756bb,166166373032568630000,512346557174307783987,87955470515123801510069
0,12444143,2021-05-16T07:26:06Z,1621149966,0xce2d9000d60cb03f6008446b12d4bcb91e2756bb,346180012778799550000,346180012778799550000,87789260685435096111033
0,12444000,2021-05-16T06:52:52Z,1621147972,0x88eb1ab11dc5e3e6e67c84f4ec5ba30e16d9b238,10152904353999773000,171835257315164380422,87442694764466917239034
0,12443821,2021-05-16T06:03:47Z,1621145027,0x88eb1ab11dc5e3e6e67c84f4ec5ba30e16d9b238,21152205492999908000,161681459821320525519,87432058879222458627645
0,12443639,2021-05-16T05:26:52Z,1621142812,0x88eb1ab11dc5e3e6e67c84f4ec5ba30e16d9b238,44068935575757415000,140528465141015466888,87410415789619894760482
0,12443483,2021-05-16T04:52:02Z,1621140722,0x88eb1ab11dc5e3e6e67c84f4ec5ba30e16d9b238,16458802603943262000,96459065388381946704,87365926434847172393799
