,blockNumber,timestamp_iso8601,timestamp_unixtime,redeemer,redeemAmount,redeemTokens
0,12851700,2021-07-18T16:32:00Z,1626625920,0x2fe2b0e60ffa814b63d17c41fe02abce9e816862,268672099926626942,1322844515
0,12850760,2021-07-18T13:04:33Z,1626613473,0x10dc4f2f4a54d8c7287960287e1296f2b726b289,3165380826763163,15585245
0,12849389,2021-07-18T07:47:59Z,1626594479,0xbdde04bb41cd7e608d4cd1df6af6bcbafa768f95,127658674238307866314,628550374475
0,12849297,2021-07-18T07:28:46Z,1626593326,0x02ec1090d59cbaa9d58eaebb3328df56a6ded2d3,500827455448610732,2465914583
0,12849246,2021-07-18T07:16:06Z,1626592566,0x198ca1beacf70b82c4e6de21e8cb7b6da6d8477a,25335173557097936045,124742332824
0,12846703,2021-07-17T21:41:03Z,1626558063,0x4951280b183b9b9c2d91ae9b9b29dc7383ad8cbf,584364456329064658,2877250348
0,12846596,2021-07-17T21:16:56Z,1626556616,0x39be1c2b09dfadf3bb925e562615a1d4603d874f,6724506276556267497,33109637471
0,12844983,2021-07-17T15:14:46Z,1626534886,0x090869e2f2764f300607861171de5a074b0bc9d6,1333638764773831666,6566511290
0,12844400,2021-07-17T13:08:42Z,1626527322,0xfa17d59a4bbd5f1f14efa67c77b0b7d0193c35f5,2440858030430309864,12018212942
0,12843138,2021-07-17T08:22:54Z,1626510174,0x8b5e1092adc6d99008211dc0fce00ae10c75e919,1009138584557292771,4968783948
0,12842653,2021-07-17T06:21:29Z,1626502889,0x5d6b08d4613b854931ea0941a7b4b9707e48e940,804620000000000000,3961784652
0,12842292,2021-07-17T04:51:35Z,1626497495,0xdc96fb2a0823662b2d7094c401e0039312830b9f,395117539209238478,1945480586
0,12840708,2021-07-16T22:57:55Z,1626476275,0xf75898cac54fd9ecba2f5f74f1600fcb251ea6bc,3000153875347478379,14772246340
0,12840435,2021-07-16T22:02:50Z,1626472970,0x7c6ce24d013cd4ddf4c193ce318e3d5533a33f42,187653017946297113,923972364
0,12839706,2021-07-16T19:16:36Z,1626462996,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,8000000000000000000,39390775294
0,12839523,2021-07-16T18:30:45Z,1626460245,0x1b3be978712e587eb8f0d3271bce663cd4d7586b,5916353990919859283,29131240077
0,12839490,2021-07-16T18:20:08Z,1626459608,0x89630cb8d8208b101876c8cf9deac7f59b7a5910,104784800000000000000,515944705841
0,12839483,2021-07-16T18:19:09Z,1626459549,0x9626055d7b884df2feb6399adcbf36c4b17be846,3871821951285660284,19064273510
0,12837996,2021-07-16T12:47:23Z,1626439643,0xe0090ec6895c087a393f0e45f1f85098a6c33bef,181588489744704344,894119300
