,function
0,_acceptAdmin
1,_addReserves
2,_reduceReserves
3,_setComptroller
4,_setImplementation
5,_setInterestRateModel
6,_setPendingAdmin
7,_setReserveFactor
8,accrualBlockNumber
9,accrueInterest
10,admin
11,allowance
12,approve
13,balanceOf
14,balanceOfUnderlying
15,borrow
16,borrowBalanceCurrent
17,borrowBalanceStored
18,borrowIndex
19,borrowRatePerBlock
20,comptroller
21,decimals
22,delegateToImplementation
23,delegateToViewImplementation
24,exchangeRateCurrent
25,exchangeRateStored
26,getAccountSnapshot
27,getCash
28,implementation
29,interestRateModel
30,isCToken
31,liquidateBorrow
32,mint
33,name
34,pendingAdmin
35,redeem
36,redeemUnderlying
37,repayBorrow
38,repayBorrowBehalf
39,reserveFactorMantissa
40,seize
41,supplyRatePerBlock
42,symbol
43,totalBorrows
44,totalBorrowsCurrent
45,totalReserves
46,totalSupply
47,transfer
48,transferFrom
49,underlying
