,fromAddress,CNT_DEX_TX,TOTAL_DEX_OUT,MIN_BLOCK_ANALYZED,MAX_BLOCK_ANALYZED,FREQ_CNT_DEX_TX,MAX_DEX_OUT,CNT_UNISWAP_OUT,SUM_UNISWAP_OUT,CNT_KYBER_OUT,SUM_KYBER_OUT,CNT_DXDY_OUT,SUM_DXDY_OUT,CNT_nan_OUT,SUM_nan_OUT,CNT_BALANCER_OUT,SUM_BALANCER_OUT,CNT_DEX_AG_OUT,SUM_DEX_AG_OUT,CNT_AIRSWAP_OUT,SUM_AIRSWAP_OUT,CNT_TOTLE_OUT,SUM_TOTLE_OUT,CNT_ONE_INCH_OUT,SUM_ONE_INCH_OUT,CNT_PARASWAP_V2_OUT,SUM_PARASWAP_V2_OUT,CNT_BINANCE_OUT,SUM_BINANCE_OUT,ADDRESS_CATEGORY
0,0XF977814E90DA44BFA03B6295A0616A897441ACEC,113,2163454.1549238325,8120944,12643444,40022,199999.99999999997,2,1956.0,0,0.0,0,0.0,0,0,8,0,0,0.0,36,0,0,0.0,36,0,0,0.0,31,2161498.1549238325,PRIVILEGE
1,0X19379A92A61FE2FCF7571C84E44F6FE9DF57932D,1353,1093892.6034123283,9146842,12660063,2596,7999.99958,0,0.0,0,0.0,0,0.0,0,0,3,0,0,0.0,0,0,0,0.0,49,0,0,0.0,1301,1093892.6034123283,PRIVILEGE
2,0X767ECB395DEF19AB8D1B2FCC89B3DDFBED28FD6B,182,580986.5262614054,10881500,12647796,9704,31434.341507568148,178,580986.5262614054,0,0.0,0,0.0,0,0,2,0,0,0.0,0,0,0,0.0,2,0,0,0.0,0,0.0,PRIVILEGE
3,0XB3F923EABAF178FC1BD8E13902FC5C61D3DDEF5B,975,525588.5846627782,12130050,12690641,574,44931.41090481549,0,0.0,0,0.0,0,0.0,0,0,183,0,0,0.0,0,0,0,0.0,318,0,0,0.0,474,525588.5846627782,PRIVILEGE
4,0X3507E4978E0EB83315D20DF86CA0B976C0E40CCB,156,474191.01956598496,12108225,12689693,3727,50177.995650947,0,0.0,0,0.0,0,0.0,0,0,44,0,0,0.0,0,0,0,0.0,14,0,0,0.0,98,474191.01956598496,PRIVILEGE
5,0X94BCA3F266CD123FCEE868490ED0BC9E9341049D,959,348364.1351376154,10518413,12691218,2265,4771.502960044,0,0.0,0,0.0,0,0.0,0,0,159,0,0,0.0,0,0,0,0.0,0,0,0,0.0,800,348364.1351376154,PRIVILEGE
6,0X000F7F22BFC28D940D4B68E13213AB17CF107790,1011,343882.1505974118,8363820,12685014,4274,3840.6925,332,10976.330236275395,0,0.0,640,332905.8203611365,0,0,1,0,0,0.0,0,0,0,0.0,38,0,0,0.0,0,0.0,PRIVILEGE
7,0X73F9B272ABDA7A97CB1B237D85F9A7236EDB6F16,712,318003.828141635,12291626,12692490,563,59684.500443009005,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,106,0,0,0.0,606,318003.828141635,PRIVILEGE
8,0X3F5CE5FBFE3E9AF3971DD833D26BA9B5C936F0BE,10037,315627.67471725703,12542576,12692617,14,306714.85076286906,0,0.0,0,0.0,0,0.0,0,0,4,0,0,0.0,14,0,0,0.0,56,0,0,0.0,568,75748.45193617878,PRIVILEGE
9,0XF05E2A70346560D3228C7002194BB7C5DC8FE100,838,308630.606568535,11943578,12693129,894,29499.850876439003,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,271,0,0,0.0,567,308630.606568535,PRIVILEGE
10,0X924CD9B60F4173DCDD5254DDD38C4F9CAB68FE6B,559,295187.4015714786,11701794,12688069,1764,35390.540566847,0,0.0,0,0.0,0,0.0,0,0,100,0,0,0.0,9,0,0,0.0,87,0,0,0.0,363,295187.4015714786,PRIVILEGE
11,0X645FE6C06374B2ABDFD80053719D04BAD333E2D6,273,265763.18571695546,6814217,12691994,21530,5800.985382999999,0,0.0,0,0.0,0,0.0,0,0,50,0,0,0.0,0,0,0,0.0,28,0,0,0.0,195,265763.18571695546,PRIVILEGE
12,0X1671A3E4A2519A653E66E827EF6EAE690EE86729,368,258956.85674082005,12122951,12666293,1476,55925.568819896,0,0.0,0,0.0,0,0.0,0,0,77,0,0,0.0,0,0,0,0.0,55,0,0,0.0,236,258956.85674082005,PRIVILEGE
13,0X492F5E8B40DA0B02742B658780483D9DFAE13CB3,1169,210375.03563964655,11981488,12693148,608,6785.7816951828145,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,517,0,0,0.0,652,210375.03563964655,PRIVILEGE
14,0X852AF47DC1F0C8D561BA5F8DE23C3B2E17DEEBA8,1024,178197.76334745577,10526503,12687120,2109,2159.963734471,0,0.0,0,0.0,0,0.0,0,0,100,0,0,0.0,0,0,0,0.0,1,0,0,0.0,923,178197.76334745577,PRIVILEGE
15,0XBDBF7F7135218FC78BEA7E0EBBD6769A31AF2976,981,151491.12977744406,11258875,12652171,1420,2805.104127283,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,981,151491.12977744406,PRIVILEGE
16,0X000018BBB8DF8DE9E3EAF772DB1C4EEC228EF06C,251,124654.8177477522,11249604,12673295,5672,3000.0,49,3267.017747752205,0,0.0,201,121387.8,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PRIVILEGE
17,0XBFAE42A79FF045659DD0F84E65534F5C4C810023,3440,122714.58985517726,9587748,12687560,901,919.96523959,0,0.0,0,0.0,3440,122714.58985517726,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PRIVILEGE
18,0X125BF69C61AF3C60CA1C0DF5BBBCE503CFF7B1AE,6315,115379.37253292855,11748624,12692864,149,114.02589677156766,6315,115379.37253292855,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PRIVILEGE
19,0X8D3B2ADE0160C8DF0246003F3F152057B73B9894,534,114026.22375925495,11334017,12665215,2492,3873.551016419,0,0.0,0,0.0,0,0.0,0,0,54,0,0,0.0,0,0,0,0.0,0,0,0,0.0,480,114026.22375925495,PRIVILEGE
20,0X145C9D4565E8291CAA8EC92FEFB571E1315E744B,1657,107173.28450263172,5502739,12691330,4338,498.489895,0,0.0,0,0.0,0,0.0,0,0,59,0,0,0.0,0,0,0,0.0,8,0,0,0.0,1590,107173.28450263172,PRIVILEGE
21,0X4F76FF660DC5E37B098DE28E6EC32978E4B5BEB6,209,97928.31710262029,9014454,12631922,17308,20500.185233172007,206,97928.31710262029,1,0.0,0,0.0,0,0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PRIVILEGE
22,0X9CC5BE83B211620CFE23E25BC65D6DA6751BCF09,528,97680.58981917602,10922448,12689544,3346,2575.667720977,0,0.0,0,0.0,0,0.0,0,0,66,0,0,0.0,188,0,0,0.0,68,0,0,0.0,206,97680.58981917602,PRIVILEGE
23,0XA494C8BF3A9CF0D8A15048095F78FC1126A98801,689,86783.4032485351,10794854,12684822,2743,2799.187820851,0,0.0,0,0.0,0,0.0,0,0,175,0,0,0.0,0,0,0,0.0,1,0,0,0.0,513,86783.4032485351,PRIVILEGE
24,0XA0F75491720835B36EDC92D06DDC468D201E9B73,368,85129.48926099045,10320542,12683435,6420,12092.952553668742,317,84129.48926099045,0,0.0,2,1000.0,0,0,6,0,0,0.0,0,0,0,0.0,41,0,2,0.0,0,0.0,PRIVILEGE
25,0X7565B9C674332512CB45C9C8DF26323AB3B5BC66,2064,78771.53302509329,10880954,12626383,845,500.0,1972,78771.53302509329,0,0.0,0,0.0,0,0,9,0,0,0.0,3,0,0,0.0,80,0,0,0.0,0,0.0,PRIVILEGE
26,0XE5D855A7A7EA599B187F8D1E283D2DD06F59903E,500,77166.228545082,6276533,12659922,12766,2741.2622960000003,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,284,0,0,0.0,216,77166.228545082,PRIVILEGE
27,0X36CC7B13029B5DEE4034745FB4F24034F3F2FFC6,468,64220.27665534008,10641489,12689560,4376,15962.593840510366,366,62191.57599934008,0,0.0,0,0.0,0,0,5,0,0,0.0,0,0,0,0.0,1,0,96,2028.700656,0,0.0,PRIVILEGE
28,0XA30D997A1D64CC31E5FEEA9F336DF0A133C74B97,438,60466.274110098966,10795007,12599836,4120,2196.577220767,0,0.0,0,0.0,0,0.0,0,0,83,0,0,0.0,0,0,0,0.0,7,0,0,0.0,348,60466.274110098966,PRIVILEGE
29,0X86904E32B0D7A8E1AB4DC4A02BAE7FF93E9A2D33,597,54850.55385895703,12100390,12692108,991,12728.305450822,0,0.0,0,0.0,0,0.0,0,0,143,0,0,0.0,0,0,0,0.0,202,0,0,0.0,252,54850.55385895703,PRIVILEGE
30,0X3707D769466EFC53BF22F4B636FA72C63C2AFB70,193,46693.42729058996,6606736,12688967,31514,3619.993467377,0,0.0,0,0.0,0,0.0,0,0,26,0,0,0.0,0,0,0,0.0,48,0,0,0.0,119,46693.42729058996,PRIVILEGE
31,0X027DFF68C06D39E1C274B359C4DC269EB40D2C19,439,46138.45782382794,10812159,12691220,4280,1411.44,0,0.0,0,0.0,0,0.0,0,0,104,0,0,0.0,0,0,0,0.0,1,0,0,0.0,334,46138.45782382794,PRIVILEGE
32,0X3178B39CDE153C851796CBA961F9775DF7787D63,911,43343.996991404056,6593109,12689544,6692,314.51421872000003,0,0.0,0,0.0,0,0.0,0,0,16,0,0,0.0,0,0,0,0.0,0,0,0,0.0,895,43343.996991404056,PRIVILEGE
33,0X593065A46A507DC0DA5146020EFC1476067AAB8C,578,43066.72546794998,10876697,12692855,3142,1307.308413565,0,0.0,0,0.0,0,0.0,0,0,168,0,0,0.0,0,0,0,0.0,217,0,0,0.0,193,43066.72546794998,PRIVILEGE
34,0X91F554ADBD461E6F23DB511E64D6416E2ED09CD5,1713,36614.116578618,10635151,12688902,1198,258.0,1708,36614.116578618,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,1,0,3,0.0,0,0.0,PRIVILEGE
35,0X0E24AADCFD8933B6D6191620C0658011366D667B,211,33250.93040676208,11308843,12636236,6290,1750.272280594249,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,11,0,0,0.0,1,0,0,0.0,199,33250.93040676208,PRIVILEGE
